,Tm,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%, ,eFG%,TOV%,ORB%,FT/FGA, ,eFG%,TOV%,DRB%,FT/FGA,Season Year
38,Boston Celtics,26.3,14,10,.583,15,9,110.7,107.0,+3.7,95.3,.283,.448,.574,,.533,13.8,21.9,.226,,.501,12.3,76.9,.181,2022
39,Memphis Grizzlies,23.9,6,6,.500,7,5,110.2,107.8,+2.4,102.1,.297,.392,.545,,.507,11.9,25.8,.218,,.530,15.6,77.7,.211,2022
40,Milwaukee Bucks,29.5,7,5,.583,7,5,104.4,102.8,+1.6,98.5,.236,.367,.529,,.498,12.4,21.6,.172,,.499,11.9,83.8,.168,2022
41,Dallas Mavericks,27.1,9,9,.500,9,9,114.9,114.1,+0.8,92.6,.289,.513,.584,,.546,10.1,15.7,.223,,.539,12.8,74.7,.214,2022
42,Philadelphia 76ers,27.4,6,6,.500,6,6,112.3,112.0,+0.3,92.2,.290,.426,.592,,.545,14.3,20.4,.246,,.512,11.0,75.8,.207,2022
43,Phoenix Suns,27.8,7,6,.538,6,7,115.6,116.7,-1.1,93.1,.229,.328,.591,,.557,12.7,24.2,.187,,.539,12.2,73.8,.237,2022
44,New Orleans Pelicans,25.5,2,4,.333,3,3,117.6,119.2,-1.6,93.4,.342,.312,.566,,.518,13.0,35.0,.267,,.575,10.7,80.3,.193,2022
45,Brooklyn Nets,29.5,0,4,.000,1,3,116.3,121.1,-4.8,93.8,.330,.349,.610,,.577,14.6,23.0,.244,,.562,12.9,69.9,.223,2022
46,Minnesota Timberwolves,24.8,2,4,.333,2,4,106.4,111.8,-5.4,102.6,.341,.435,.579,,.527,15.8,17.1,.276,,.519,13.6,72.5,.268,2022
47,Utah Jazz,29.1,2,4,.333,2,4,108.8,115.0,-6.2,91.0,.335,.378,.546,,.495,11.5,22.8,.264,,.540,8.7,85.5,.217,2022
48,Denver Nuggets,28.1,1,4,.200,1,4,113.6,121.8,-8.2,96.9,.304,.379,.586,,.543,14.9,28.0,.242,,.608,12.2,81.4,.230,2022
49,Toronto Raptors,25.3,2,4,.333,2,4,111.2,120.2,-9.0,91.2,.244,.382,.542,,.503,9.5,23.0,.194,,.576,14.0,76.7,.275,2022
50,Atlanta Hawks,25.5,1,4,.200,1,4,102.3,114.9,-12.6,95.2,.281,.448,.554,,.513,15.7,21.3,.220,,.542,12.2,79.0,.194,2022
51,Chicago Bulls,26.4,1,4,.200,1,4,94.9,109.4,-14.5,100.3,.160,.408,.493,,.461,11.9,15.8,.133,,.553,13.9,81.4,.170,2022
52,Philadelphia 76ers,27.3,7,5,.583,9,3,116.0,108.5,+7.5,100.2,.342,.331,.589,,.561,11.5,21.3,.234,,.502,11.2,78.8,.235,2021
53,Brooklyn Nets,28.7,7,5,.583,8,4,116.1,109.6,+6.5,96.1,.235,.413,.592,,.551,10.9,19.7,.204,,.502,11.6,75.0,.190,2021
54,Milwaukee Bucks,29.2,16,7,.696,15,8,112.9,107.6,+5.3,96.9,.228,.384,.550,,.524,11.3,27.8,.164,,.523,12.2,81.6,.160,2021
55,Phoenix Suns,26.6,14,8,.636,14,8,114.7,110.0,+4.7,95.1,.219,.350,.585,,.547,11.3,19.6,.188,,.507,10.9,76.1,.194,2021
56,Los Angeles Clippers,29.3,10,9,.526,12,7,120.2,115.9,+4.3,92.8,.290,.444,.604,,.562,10.4,21.5,.238,,.543,11.1,76.9,.173,2021
57,Utah Jazz,28.6,6,5,.545,5,6,121.4,122.3,-0.9,96.3,.288,.518,.616,,.579,12.4,23.7,.231,,.562,9.6,76.7,.208,2021
58,Portland Trail Blazers,28.5,2,4,.333,3,3,121.6,122.9,-1.3,95.0,.257,.443,.608,,.567,10.7,22.2,.219,,.555,9.9,73.5,.216,2021
59,Atlanta Hawks,25.6,10,8,.556,8,10,109.8,111.3,-1.5,96.8,.241,.394,.554,,.516,11.5,20.9,.192,,.520,11.6,75.0,.197,2021
60,Dallas Mavericks,26.2,3,4,.429,2,5,115.5,121.1,-5.6,91.8,.233,.407,.559,,.534,10.4,23.7,.164,,.571,10.9,77.4,.246,2021
